Title,ReleaseDate,Overview,VoteAverage,VoteCount,OriginalLanguage,Genres,Runtime,Tagline,Budget,Revenue,ProductionCompanies,ProductionCountries,SpokenLanguages,IMDBId
Next Friday,2000-01-12,"A streetwise man flees South Central Los Angeles, heading to the suburbs and his lottery-winner uncle and cousin, to avoid a neighborhood thug with a grudge who has just escaped from prison.",6.432,549,en,Comedy,98,The suburbs make the hood look good.,11000000,59800000,New Line Cinema;Cube Vision,United States of America,English,tt0195945
The Beach,2000-02-03,"Twenty-something Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise, a tropical bliss - excited and intrigued, he sets out to find it.",6.477,4271,en,Drama;Adventure;Romance;Thriller,119,Somewhere on this planet it must exist.,40000000,144100000,Figment Films;20th Century Fox,United Kingdom;United States of America,English;Français;Hrvatski;svenska;ภาษาไทย,tt0163978
Scream 3,2000-02-04,"While Sidney Prescott and her friends visit the Hollywood set of Stab 3, the third film based on the Woodsboro murders, another Ghostface killer rises to terrorize them.",5.991,3464,en,Horror;Mystery,116,The most terrifying scream is always the last.,40000000,161834276,Dimension Films;Konrad Pictures;Craven-Maddalena Films,United States of America,English,tt0134084
Pitch Black,2000-02-18,"When their ship crash-lands on a remote planet, the marooned passengers soon learn that escaped convict Riddick isn't the only thing they have to fear. Deadly creatures lurk in the shadows, waiting to attack in the dark, and the planet is rapidly plunging into the utter blackness of a total eclipse. With the body count rising, the doomed survivors are forced to turn to Riddick with his eerie eyes to guide them through the darkness to safety. With time running out, there's only one rule: Stay in the light.",6.838,4296,en,Thriller;Science Fiction;Action,108,Don't be afraid of the dark. Be afraid of what's in the dark,23000000,53187659,Interscope Communications,United States of America,العربية;English,tt0134847
Boiler Room,2000-02-18,A college dropout gets a job as a broker for a suburban investment firm and is on the fast track to success—but the job might not be as legitimate as it sounds.,6.728,636,en,Crime;Drama;Thriller,118,Welcome to the new American dream.,7000000,28780255,New Line Cinema,United States of America,English;Pусский,tt0181984
The Whole Nine Yards,2000-02-18,"After a mobster agrees to cooperate with an FBI investigation in order to stay out of prison, he's relocated by the authorities to a life of suburban anonymity as part of a witness protection program. It's not long before a couple of his new neighbours figure out his true identity and come knocking to see if he'd be up for one more hit—suburban style.",6.4,1823,en,Comedy;Crime,98,"In the heart of suburbia, a hit man with heart has just moved in.",41300000,106371651,Rational Packaging;Lansdown Films,United States of America,English;Français;Español,tt0190138
Malena,2000-03-16,"During WWII, a teenage boy discovering himself becomes love-stricken by Malèna, a sensual woman living in a small, narrow-minded Italian town.",7.415,2174,it,Drama,109,"Too young to be a widow, too beautiful to be alone.",0,14493284,Miramax;Medusa Produzione;Pacific Pictures;TELE+,Italy;United States of America,Italiano,tt0213847
The Gift,2000-03-16,"Annie Wilson, young widow and mother of three, makes her living foretelling others' futures⁠—though her own has become cloudier than even she can see. Threatened by a client's violent husband and plagued by visions of a missing local woman, Annie finds herself pulled into a thicket of lies and deception in which her extraordinary gift may ultimately get her killed.",6.411,1157,en,Horror;Drama;Thriller;Mystery,112,The only witness to the crime was not even there.,10000000,12008642,Lakeshore Entertainment;Alphaville Films;Paramount Classics,United States of America,English,tt0219699
Final Destination,2000-03-17,"After a teenager has a terrifying vision of him and his friends dying in a plane crash, he prevents the accident only to have Death hunt them down, one by one.",6.598,5458,en,Horror,98,No accidents. No coincidences. No escapes. You can't cheat death.,23000000,112900000,Hard Eight Pictures;New Line Cinema;Zide-Perry Productions,United States of America,English;Français,tt0195714
Erin Brockovich,2000-03-17,"A twice-divorced mother of three who sees an injustice, takes on the bad guy and wins -- with a little help from her push-up bra. Erin goes to work for an attorney and comes across medical records describing illnesses clustered in one nearby town. She starts investigating and soon exposes a monumental cover-up.",7.434,3091,en,Drama,131,She brought a small town to its feet and a huge company to its knees.,52000000,256271286,Jersey Films,United States of America,English,tt0195685
