,Title,ReleaseDate,Overview,VoteAverage,VoteCount,OriginalLanguage,Genres,Runtime,Tagline,Budget,Revenue,ProductionCompanies,ProductionCountries,SpokenLanguages,IMDBId
0,Johnny Be Good,1988-03-22,"It's recruiting time and despite being short and scrawny, Johnny Walker is America's hottest young football prospect. His dilemma: should he take one of the many offers from college talent scouts or should he attend the local state college with his girlfriend and give up his football career?",4.541,123,en,Comedy,91,Every college in the country wants Johnny. 'Cause when he's good he's very very good. And when he's bad he's better.,13112079.2,63838039.304709144,Orion Pictures,United States of America,English,tt0095409
1,Blue City,1986-05-02,"Returning to the small Florida town where he grew up, Billy Turner learns that his father has been killed. With little help from the police, Billy will take matters into his own hands and go up against a ruthless local mob boss in a desperate search to find the killer.",4.885,26,en,Drama;Action;Thriller;Crime,83,It's below Miami and above the law.,10000000.0,6900000.0,Paramount Pictures,United States of America,English,tt0090753
2,Police Academy 6: City Under Siege,1989-03-09,"Our favourite police men are called together to deal with a gang who rob banks and jewelers. Using their various talents as well as their extraordinary luck, the crooks stand no chance against our men and women in blue.",5.126,821,en,Comedy;Crime,84,The Grads are going undercover in the city to unmask the mastermind of crime.,15000000.0,33200000.0,Warner Bros. Pictures,United States of America,English,tt0098105
3,Grease 2,1982-06-11,"It's 1961, two years after the original Grease gang graduated, and there's a new crop of seniors and new members of the coolest cliques on campus, the Pink Ladies and T-Birds. Michael Carrington is the new kid in school - but he's been branded a brainiac. Can he fix up an old motorcycle, don a leather jacket, avoid a rumble with the leader of the T-Birds, and win the heart of Pink Lady Stephanie?",5.15,658,en,Comedy;Music;Romance,115,The Music and Feeling go on Forever.,13200000.0,15172313.0,Paramount Pictures;Fine Arts Films;Robert Stigwood Organization,United Kingdom;United States of America,English,tt0084021
4,Police Academy 5: Assignment Miami Beach,1988-03-17,The Police Academy misfits travel to Miami Beach for Commandant Lassard to be honored with a prestigious lifetime award pending his retirement. Things take a turn when Lassard unknowingly ends up in possession of stolen diamonds from a jewel heist.,5.183,876,en,Comedy;Crime,90,Hold everything! The cadets are dropping in on Miami Beach for an all new adventure.,14000000.0,19510371.0,Warner Bros. Pictures,United States of America,English,tt0095882
5,Horny Working Girl: From 5 to 9,1982-03-12,"A woman named Chieko Kuwano is hired as an assistant manager at a large corporate office in Japan. She’s smart, sexy, and willing to do almost anything for her sex-starved new boss but, since he’s married, his deviant behavior makes her uncomfortable. Fed up with the boss and his perverted ways, the ladies in the building band together to enact their own special kind of revenge… that is, after they have a lesbian three-way slumber party, of course!",5.2,8,ja,Drama;Comedy,66,Sin tagline,13112079.2,63838039.304709144,Nikkatsu Corporation,Japan,日本語,tt2884318
6,Kansas,1988-09-23,"A drifter becomes both a bank robber and a hero in this crime thriller. Andrew McCarthy stars as Wade Corey, who hitches a ride on a freight train already occupied by Doyle Kennedy (Matt Dillon), a charming ex-con who convinces Wade to accompany him to his hometown. Once there, Wade realizes too late that Doyle is intent on robbing the local bank. After they are separated following the crime, Wade hides the money. Happening upon a drowning in progress, he saves a young girl who just happens to be the daughter of the state governor, and he becomes an unlikely hero. Finding work at a nearby farm, the meandering Wade becomes a hired hand, falls for the beautiful daughter (Leslie Hope) of his boss, and dreads the return of Doyle, who is sure to come looking for his money.",5.2,21,en,Drama;Thriller;Crime;Romance,110,"In a life of crime, no one can be trusted... Not even your friend.",13112079.2,2432237.0,Trans World Entertainment (TWE);Trans World Entertainment,United States of America,English,tt0095428
7,Fresh Horses,1988-11-18,"A Cincinnati college student breaks off his engagement to his wealthy fiancée after he falls in love with a backwoods Kentucky girl he meets at a party. She says she's 20, but he finds out she's 16 and married to an abusive husband.",5.25,26,en,Drama;Romance,105,Love doesn't have to last a lifetime.,13112079.2,63838039.304709144,Weintraub Entertainment Group;Columbia Pictures,United States of America,English,tt0095178
8,No Small Affair,1984-11-09,"A 16-year-old aspiring photographer pursues a beautiful ""older woman"" of 22, a down-on-her-luck rock singer.",5.4,51,en,Comedy;Drama;Romance,102,He's 16. She's 22. All he wanted was her picture. What he got was... no small affair.,13112079.2,63838039.304709144,Delphi II Productions;Columbia Pictures,United States of America,English,tt0087810
9,Popeye,1980-12-12,"Popeye is a super-strong, spinach-scarfing sailor man who's searching for his father. During a storm that wrecks his ship, Popeye washes ashore and winds up rooming at the Oyl household, where he meets Olive. Before he can win her heart, he must first contend with Olive's fiancé, Bluto.",5.439,593,en,Action;Adventure;Comedy;Family,114,The sailor man with the spinach can!,20000000.0,49823037.0,Paramount Pictures;Walt Disney Productions;Robert Evans Company;King Features Syndicate,United States of America,English,tt0081353
10,Police Academy 4: Citizens on Patrol,1987-04-02,"A new batch of recruits arrives at Police Academy, this time a group of civilian volunteers who have joined Commandant Lassard's new Citizens on Patrol program. Although the community relations project has strong governmental support, a disgusted Captain Harris is determined to see it fail.",5.496,1118,en,Comedy;Crime,88,"On land, on sea, or in the air, no place is safe from them!",17000000.0,76800000.0,Warner Bros. Pictures,United States of America,English,tt0093756
11,Earth Girls Are Easy,1988-09-08,"In this musical comedy, Valerie is dealing with her philandering fiancé, Ted, when she finds that a trio of aliens have crashed their spaceship into her swimming pool. Once the furry beings are shaved at her girlfriend's salon, the women discover three handsome men underneath. After absorbing the native culture via television, the spacemen are ready to hit the dating scene in 1980s Los Angeles.",5.571,360,en,Comedy;Science Fiction,100,Valerie's about to discover how far a girl has to go to find Mr. Right.,10000000.0,3916303.0,Earth Girls;DEG;Kestrel Films;Vestron Pictures,United Kingdom;United States of America,English,tt0097257
12,Oxford Blues,1984-08-24,"A young American hustler in Las Vegas spots a rich English Lady. Smitten, he pursues her to England, where his only chance of getting together with her is to enroll in Oxford and join the rowing team.",5.6,42,en,Comedy;Drama,97,He's conned his way into Oxford University . . . now he's learning to be a WINNER!,13112079.2,63838039.304709144,Winkast Film Productions;Baltic Industrial Finance;Metro-Goldwyn-Mayer,United Kingdom,Deutsch;Español;English,tt0087866
13,The Pick-up Artist,1987-09-18,A womanizer meets his match when he falls for the daughter of a gambling addict who is in debt to the mob.,5.619,181,en,Romance;Comedy;Crime,81,The Pick-Up Artist... has finally met his match.,15000000.0,13290368.0,Amercent Films;American Entertainment Partners L.P.;20th Century Fox,United States of America,English,tt0093737
14,18 Again!,1988-04-08,"18 Again! is a 1988 comedy film starring George Burns and Charlie Schlatter. The plot involves a grandson switching souls with his grandfather by means of an accident. This was one of a series of unrelated films, including Like Father, Like Son and Vice Versa, produced in the late 1980s involving a similar plotline.",5.656,80,en,Fantasy;Comedy,100,"His mind was 81. His body was 18. When Jack Watson found his fountain of youth, it overflowed with comedy.",13112079.2,2567099.0,New World Entertainment Films;New World Pictures,United States of America,English,tt0094593
15,Heart Like a Wheel,1983-04-01,"Shirley Muldowney is determined to be a top-fuel drag racer, although no woman has ever raced them before. Despite the high risks of this kind of racing and the burden it places on her family life, she perseveres in her dream.",5.7,23,en,Drama,113,"She did something women were forbidden to do, and became a World Champion.",13112079.2,63838039.304709144,Michael Nolin;Aurora;20th Century Fox,United States of America,English,tt0085656
16,Police Academy 3: Back in Training,1986-03-20,"When police funding is cut, the Governor announces he must close one of the academies. To make it fair, the two police academies must compete against each other to stay in operation. Mauser persuades two officers in Lassard's academy to better his odds, but things don't quite turn out as expected...",5.798,1179,en,Comedy;Crime,84,Run for cover!,12000000.0,107600000.0,Police Academy Productions;Warner Bros. Pictures,United States of America,English,tt0091777
17,Motel Hell,1980-08-14,"Farmer Vincent Smith and his sister Ida run a motel attached to a farm where they capture unsuspecting travelers, bury them alive, fatten them up and then harvest their bodies as ingredients for his famous brand of ""smoked meats.""",5.8,234,en,Comedy;Horror,102,It takes all kinds of critters to make Farmer Vincent fritters!,3000000.0,6342668.0,Camp Hill;United Artists,United States of America,English,tt0081184
